alsa-utils 1.2.14-1
aria2 1.37.0-2
base 3-2
base-devel 1-2
blueman 2.4.6-1
bluez 5.84-2
bluez-utils 5.84-2
brightnessctl 0.5.1-3
cmatrix 2.0-4
cmus 2.12.0-4
docker 1:28.5.2-1
docker-compose 2.40.3-1
dosbox 0.74.3-3
dosfstools 4.2-5
efibootmgr 18-3
ffmpeg 2:8.0-3
firefox 145.0-2
firefoxpwa 2.17.2-1
fish 4.2.1-1
flameshot 13.3.0-1
fzf 0.66.1-1
gamemode 1.8.2-1
gdu 5.31.0-1
git 2.51.2-2
github-cli 2.83.1-1
grim 1.5.0-2
grub 2:2.14rc1-2
htop 3.4.1-1
hyprland 0.52.1-3
imv 5.0.0-1
intel-media-driver 25.3.4-1
jdk-openjdk 25.0.1.u8-1
kdeconnect 25.08.3-1
kitty 0.44.0-1
lib32-gamemode 1.8.2-1
libreoffice-still 25.2.7-2
linux 6.17.8.arch1-1
linux-firmware 20251111-1
linux-headers 6.17.8.arch1-1
linux-lts 6.12.58-1
linux-lts-headers 6.12.58-1
lvm2 2.03.36-2
man-db 2.13.1-1
man-pages 6.16-1
mpc 0.35-1
mpd 0.24.6-2
mpv 1:0.40.0-7
mtools 1:4.0.49-1
nano 8.7-1
ncmpcpp 0.10.1-6
neovim 0.11.5-1
networkmanager 1.54.1-1
nmap 7.98-3
nnn 5.1-1
ollama 0.12.11-1
openssh 10.2p1-2
os-prober 1.83-1
otf-font-awesome 7.1.0-1
pavucontrol 1:6.2-1
pipewire-alsa 1:1.4.9-1
pipewire-pulse 1:1.4.9-1
python-pip 25.3-1
python-pipx 1.8.0-1
reflector 2023-3
rofi 2.0.0-1
sddm 0.21.0-6
slurp 1.5.0-1
steam 1.0.0.85-1
sudo 1.9.17.p2-1
swww 0.11.2-1
thunar 4.20.6-1
ttf-jetbrains-mono-nerd 3.4.0-1
unzip 6.0-23
vim 9.1.1908-1
visual-studio-code-bin 1.104.1-1
vlc 3.0.21-31
vulkan-tools 1.4.335.0-1
waybar 0.14.0-4
wf-recorder 0.6.0-1
wget 1.25.0-3
wl-clipboard 1:2.2.1-3
xdg-desktop-portal 1.20.3-2
xdg-desktop-portal-hyprland 1.3.11-1
yay 12.5.0-1
yay-debug 12.5.0-1
zip 3.0-11
